"","Location","Year","Age","LAge","UAge","Pop"
"1","World",1990,"15-19",15,19,253753
"2","World",1990,"20-24",20,24,240489
"3","World",1990,"25-29",25,29,215159
"4","World",1990,"30-34",30,34,189532
"5","World",1990,"35-39",35,39,172362
"6","World",1990,"40-44",40,44,139003
"7","World",1990,"45-49",45,49,112990
"8","World",1990,"50-54",50,54,106781
"9","World",1990,"55-59",55,59,93546
"10","World",1990,"60-64",60,64,82402
"11","World",1990,"65-69",65,69,67299
"12","World",1990,"70-74",70,74,48128
"13","World",1990,"75-79",75,79,37462
"14","World",1990,"80-84",80,84,22263
"15","World",1990,"85-89",85,89,9849
"16","World",1990,"90-94",90,94,2955
"17","World",1990,"95-99",95,99,595
"18","World",1990,"100+",100,104,74
"19","World",1995,"15-19",15,19,256440
"20","World",1995,"20-24",20,24,250736
"21","World",1995,"25-29",25,29,237985
"22","World",1995,"30-34",30,34,213332
"23","World",1995,"35-39",35,39,187491
"24","World",1995,"40-44",40,44,170029
"25","World",1995,"45-49",45,49,136300
"26","World",1995,"50-54",50,54,110086
"27","World",1995,"55-59",55,59,102660
"28","World",1995,"60-64",60,64,88146
"29","World",1995,"65-69",65,69,75008
"30","World",1995,"70-74",70,74,57819
"31","World",1995,"75-79",75,79,37800
"32","World",1995,"80-84",80,84,25574
"33","World",1995,"85-89",85,89,12139
"34","World",1995,"90-94",90,94,3906
"35","World",1995,"95-99",95,99,769
"36","World",1995,"100+",100,104,98
"37","World",2000,"15-19",15,19,277326
"38","World",2000,"20-24",20,24,253615
"39","World",2000,"25-29",25,29,248521
"40","World",2000,"30-34",30,34,235955
"41","World",2000,"35-39",35,39,211272
"42","World",2000,"40-44",40,44,184962
"43","World",2000,"45-49",45,49,167017
"44","World",2000,"50-54",50,54,132980
"45","World",2000,"55-59",55,59,105959
"46","World",2000,"60-64",60,64,97026
"47","World",2000,"65-69",65,69,80659
"48","World",2000,"70-74",70,74,65038
"49","World",2000,"75-79",75,79,46157
"50","World",2000,"80-84",80,84,26131
"51","World",2000,"85-89",85,89,14206
"52","World",2000,"90-94",90,94,4926
"53","World",2000,"95-99",95,99,1033
"54","World",2000,"100+",100,104,123
"55","World",2005,"15-19",15,19,302955
"56","World",2005,"20-24",20,24,274399
"57","World",2005,"25-29",25,29,251351
"58","World",2005,"30-34",30,34,246135
"59","World",2005,"35-39",35,39,233387
"60","World",2005,"40-44",40,44,208211
"61","World",2005,"45-49",45,49,181232
"62","World",2005,"50-54",50,54,163015
"63","World",2005,"55-59",55,59,128637
"64","World",2005,"60-64",60,64,100378
"65","World",2005,"65-69",65,69,88844
"66","World",2005,"70-74",70,74,70151
"67","World",2005,"75-79",75,79,52051
"68","World",2005,"80-84",80,84,32442
"69","World",2005,"85-89",85,89,14859
"70","World",2005,"90-94",90,94,5981
"71","World",2005,"95-99",95,99,1350
"72","World",2005,"100+",100,104,168
"73","World",2010,"15-19",15,19,291785
"74","World",2010,"20-24",20,24,299587
"75","World",2010,"25-29",25,29,272497
"76","World",2010,"30-34",30,34,249103
"77","World",2010,"35-39",35,39,243874
"78","World",2010,"40-44",40,44,230557
"79","World",2010,"45-49",45,49,205214
"80","World",2010,"50-54",50,54,177498
"81","World",2010,"55-59",55,59,157643
"82","World",2010,"60-64",60,64,121964
"83","World",2010,"65-69",65,69,92683
"84","World",2010,"70-74",70,74,78081
"85","World",2010,"75-79",75,79,56919
"86","World",2010,"80-84",80,84,37766
"87","World",2010,"85-89",85,89,19278
"88","World",2010,"90-94",90,94,6607
"89","World",2010,"95-99",95,99,1760
"90","World",2010,"100+",100,104,237
"91","World",2015,"15-19",15,19,290910
"92","World",2015,"20-24",20,24,290007
"93","World",2015,"25-29",25,29,297822
"94","World",2015,"30-34",30,34,270534
"95","World",2015,"35-39",35,39,247008
"96","World",2015,"40-44",40,44,241397
"97","World",2015,"45-49",45,49,227488
"98","World",2015,"50-54",50,54,201180
"99","World",2015,"55-59",55,59,172316
"100","World",2015,"60-64",60,64,150610
"101","World",2015,"65-69",65,69,113307
"102","World",2015,"70-74",70,74,82435
"103","World",2015,"75-79",75,79,64521
"104","World",2015,"80-84",80,84,41933
"105","World",2015,"85-89",85,89,23211
"106","World",2015,"90-94",90,94,9009
"107","World",2015,"95-99",95,99,2087
"108","World",2015,"100+",100,104,332
"109","World",2020,"15-19",15,19,295554
"110","World",2020,"20-24",20,24,289101
"111","World",2020,"25-29",25,29,288633
"112","World",2020,"30-34",30,34,296294
"113","World",2020,"35-39",35,39,268372
"114","World",2020,"40-44",40,44,244399
"115","World",2020,"45-49",45,49,238133
"116","World",2020,"50-54",50,54,223163
"117","World",2020,"55-59",55,59,195634
"118","World",2020,"60-64",60,64,164961
"119","World",2020,"65-69",65,69,140704
"120","World",2020,"70-74",70,74,101491
"121","World",2020,"75-79",75,79,69027
"122","World",2020,"80-84",80,84,48281
"123","World",2020,"85-89",85,89,26429
"124","World",2020,"90-94",90,94,11352
"125","World",2020,"95-99",95,99,3056
"126","World",2020,"100+",100,104,449
