"","iso3","loage","hiage","women","year"
"844","AFG",15,19,631.182,1990
"845","AFG",20,24,509.197,1990
"846","AFG",25,29,415.684,1990
"847","AFG",30,34,350.137,1990
"848","AFG",35,39,297.978,1990
"849","AFG",40,44,271.604,1990
"850","AFG",45,49,189.926,1990
"851","AFG",50,54,144.475,1990
"852","AFG",55,59,110.15,1990
"853","AFG",60,64,87.709,1990
"854","AFG",65,69,69.009,1990
"855","AFG",70,74,43.489,1990
"856","AFG",75,79,21.813,1990
"857","AFG",80,84,8.134,1990
"858","AFG",85,89,1.969,1990
"859","AFG",90,94,0.526,1990
"860","AFG",95,99,0.096,1990
"861","AFG",100,104,0.007,1990
"949","AFG",15,19,918.845,1995
"950","AFG",20,24,744.539,1995
"951","AFG",25,29,604.642,1995
"952","AFG",30,34,493.331,1995
"953","AFG",35,39,408.266,1995
"954","AFG",40,44,339.432,1995
"955","AFG",45,49,305.389,1995
"956","AFG",50,54,222.513,1995
"957","AFG",55,59,171.354,1995
"958","AFG",60,64,129.331,1995
"959","AFG",65,69,95.626,1995
"960","AFG",70,74,65.558,1995
"961","AFG",75,79,35.951,1995
"962","AFG",80,84,15.624,1995
"963","AFG",85,89,3.956,1995
"964","AFG",90,94,0.49,1995
"965","AFG",95,99,0.078,1995
"966","AFG",100,104,0.009,1995
"1054","AFG",15,19,1042.985,2000
"1055","AFG",20,24,831.93,2000
"1056","AFG",25,29,680.892,2000
"1057","AFG",30,34,562.956,2000
"1058","AFG",35,39,461.895,2000
"1059","AFG",40,44,381.65,2000
"1060","AFG",45,49,314.363,2000
"1061","AFG",50,54,279.119,2000
"1062","AFG",55,59,198.274,2000
"1063","AFG",60,64,147.831,2000
"1064","AFG",65,69,105.589,2000
"1065","AFG",70,74,72.078,2000
"1066","AFG",75,79,43.206,2000
"1067","AFG",80,84,18.798,2000
"1068","AFG",85,89,5.957,2000
"1069","AFG",90,94,1.007,2000
"1070","AFG",95,99,0.075,2000
"1071","AFG",100,104,0.007,2000
"1159","AFG",15,19,1336,2005
"1160","AFG",20,24,1106.633,2005
"1161","AFG",25,29,864.815,2005
"1162","AFG",30,34,687.743,2005
"1163","AFG",35,39,560.714,2005
"1164","AFG",40,44,455.796,2005
"1165","AFG",45,49,374.261,2005
"1166","AFG",50,54,305.735,2005
"1167","AFG",55,59,265.889,2005
"1168","AFG",60,64,183.252,2005
"1169","AFG",65,69,130.438,2005
"1170","AFG",70,74,84.796,2005
"1171","AFG",75,79,49.481,2005
"1172","AFG",80,84,23.777,2005
"1173","AFG",85,89,7.472,2005
"1174","AFG",90,94,1.543,2005
"1175","AFG",95,99,0.153,2005
"1176","AFG",100,104,0.007,2005
"1264","AFG",15,19,1503.682,2010
"1265","AFG",20,24,1188.683,2010
"1266","AFG",25,29,1013.511,2010
"1267","AFG",30,34,819.307,2010
"1268","AFG",35,39,657.692,2010
"1269","AFG",40,44,536.591,2010
"1270","AFG",45,49,433.278,2010
"1271","AFG",50,54,350.364,2010
"1272","AFG",55,59,281.454,2010
"1273","AFG",60,64,238.883,2010
"1274","AFG",65,69,155.759,2010
"1275","AFG",70,74,102.913,2010
"1276","AFG",75,79,59.129,2010
"1277","AFG",80,84,27.743,2010
"1278","AFG",85,89,9.648,2010
"1279","AFG",90,94,1.974,2010
"1280","AFG",95,99,0.241,2010
"1281","AFG",100,104,0.014,2010
"1369","AFG",15,19,1980.573,2015
"1370","AFG",20,24,1545.4,2015
"1371","AFG",25,29,1204.591,2015
"1372","AFG",30,34,1008.262,2015
"1373","AFG",35,39,809.018,2015
"1374","AFG",40,44,646.068,2015
"1375","AFG",45,49,523.926,2015
"1376","AFG",50,54,419.245,2015
"1377","AFG",55,59,333.335,2015
"1378","AFG",60,64,260.027,2015
"1379","AFG",65,69,210.711,2015
"1380","AFG",70,74,126.728,2015
"1381","AFG",75,79,73.066,2015
"1382","AFG",80,84,33.876,2015
"1383","AFG",85,89,11.513,2015
"1384","AFG",90,94,2.598,2015
"1385","AFG",95,99,0.31,2015
"1386","AFG",100,104,0.022,2015
"1432","AFG",15,19,2148.045,2018
"1433","AFG",20,24,1774.099,2018
"1434","AFG",25,29,1370.844,2018
"1435","AFG",30,34,1103.876,2018
"1436","AFG",35,39,918.728,2018
"1437","AFG",40,44,728.47,2018
"1438","AFG",45,49,582.527,2018
"1439","AFG",50,54,467.799,2018
"1440","AFG",55,59,369.167,2018
"1441","AFG",60,64,285.462,2018
"1442","AFG",65,69,220.38,2018
"1443","AFG",70,74,155.936,2018
"1444","AFG",75,79,81.207,2018
"1445","AFG",80,84,39.757,2018
"1446","AFG",85,89,14.071,2018
"1447","AFG",90,94,3.571,2018
"1448","AFG",95,99,0.606,2018
"1449","AFG",100,104,0.025,2018
"1474","AFG",15,19,2251.504,2020
"1475","AFG",20,24,1909.206,2020
"1476","AFG",25,29,1498.59,2020
"1477","AFG",30,34,1179.138,2020
"1478","AFG",35,39,988.22,2020
"1479","AFG",40,44,790.703,2020
"1480","AFG",45,49,627.51,2020
"1481","AFG",50,54,503.171,2020
"1482","AFG",55,59,396.46,2020
"1483","AFG",60,64,307.557,2020
"1484","AFG",65,69,229.221,2020
"1485","AFG",70,74,172.197,2020
"1486","AFG",75,79,91.107,2020
"1487","AFG",80,84,42.49,2020
"1488","AFG",85,89,14.275,2020
"1489","AFG",90,94,3.139,2020
"1490","AFG",95,99,0.414,2020
"1491","AFG",100,104,0.028,2020
"32554","ALB",15,19,155.994,1990
"32555","ALB",20,24,149.349,1990
"32556","ALB",25,29,146.685,1990
"32557","ALB",30,34,127.471,1990
"32558","ALB",35,39,101.895,1990
"32559","ALB",40,44,78.895,1990
"32560","ALB",45,49,69.185,1990
"32561","ALB",50,54,62.773,1990
"32562","ALB",55,59,49.95,1990
"32563","ALB",60,64,42.86,1990
"32564","ALB",65,69,34.629,1990
"32565","ALB",70,74,27.052,1990
"32566","ALB",75,79,19.595,1990
"32567","ALB",80,84,11.91,1990
"32568","ALB",85,89,4.32,1990
"32569","ALB",90,94,1.294,1990
"32570","ALB",95,99,0.149,1990
"32571","ALB",100,104,0.013,1990
"32659","ALB",15,19,146.593,1995
"32660","ALB",20,24,134.774,1995
"32661","ALB",25,29,123.389,1995
"32662","ALB",30,34,124.95,1995
"32663","ALB",35,39,111.995,1995
"32664","ALB",40,44,91.425,1995
"32665","ALB",45,49,71.83,1995
"32666","ALB",50,54,64.238,1995
"32667","ALB",55,59,59.062,1995
"32668","ALB",60,64,46.841,1995
"32669","ALB",65,69,39.41,1995
"32670","ALB",70,74,30.222,1995
"32671","ALB",75,79,21.245,1995
"32672","ALB",80,84,12.64,1995
"32673","ALB",85,89,5.532,1995
"32674","ALB",90,94,1.207,1995
"32675","ALB",95,99,0.182,1995
"32676","ALB",100,104,0.01,1995
"32764","ALB",15,19,145.682,2000
"32765","ALB",20,24,123.98,2000
"32766","ALB",25,29,113.861,2000
"32767","ALB",30,34,112.114,2000
"32768","ALB",35,39,116.906,2000
"32769","ALB",40,44,103.801,2000
"32770","ALB",45,49,83.869,2000
"32771","ALB",50,54,64.907,2000
"32772","ALB",55,59,55.647,2000
"32773","ALB",60,64,50.781,2000
"32774","ALB",65,69,39.866,2000
"32775","ALB",70,74,31.917,2000
"32776","ALB",75,79,21.59,2000
"32777","ALB",80,84,13.646,2000
"32778","ALB",85,89,6.447,2000
"32779","ALB",90,94,1.655,2000
"32780","ALB",95,99,0.183,2000
"32781","ALB",100,104,0.013,2000
"32869","ALB",15,19,157.519,2005
"32870","ALB",20,24,129.889,2005
"32871","ALB",25,29,102.159,2005
"32872","ALB",30,34,98.333,2005
"32873","ALB",35,39,106.503,2005
"32874","ALB",40,44,113.556,2005
"32875","ALB",45,49,101.157,2005
"32876","ALB",50,54,81.951,2005
"32877","ALB",55,59,63.16,2005
"32878","ALB",60,64,53.675,2005
"32879","ALB",65,69,47.95,2005
"32880","ALB",70,74,35.861,2005
"32881","ALB",75,79,26.293,2005
"32882","ALB",80,84,15.143,2005
"32883","ALB",85,89,7.28,2005
"32884","ALB",90,94,2.215,2005
"32885","ALB",95,99,0.3,2005
"32886","ALB",100,104,0.016,2005
"32974","ALB",15,19,134.518,2010
"32975","ALB",20,24,121.726,2010
"32976","ALB",25,29,101.674,2010
"32977","ALB",30,34,89.167,2010
"32978","ALB",35,39,94.268,2010
"32979","ALB",40,44,99.171,2010
"32980","ALB",45,49,107.086,2010
"32981","ALB",50,54,98.684,2010
"32982","ALB",55,59,81.104,2010
"32983","ALB",60,64,62.655,2010
"32984","ALB",65,69,53.44,2010
"32985","ALB",70,74,45.865,2010
"32986","ALB",75,79,30.847,2010
"32987","ALB",80,84,19.189,2010
"32988","ALB",85,89,8.316,2010
"32989","ALB",90,94,2.575,2010
"32990","ALB",95,99,0.424,2010
"32991","ALB",100,104,0.028,2010
"33079","ALB",15,19,116.716,2015
"33080","ALB",20,24,121.98,2015
"33081","ALB",25,29,107.119,2015
"33082","ALB",30,34,80.381,2015
"33083","ALB",35,39,79.569,2015
"33084","ALB",40,44,92.51,2015
"33085","ALB",45,49,97.67,2015
"33086","ALB",50,54,105.36,2015
"33087","ALB",55,59,97.847,2015
"33088","ALB",60,64,77.146,2015
"33089","ALB",65,69,60.128,2015
"33090","ALB",70,74,52.527,2015
"33091","ALB",75,79,38.632,2015
"33092","ALB",80,84,23.386,2015
"33093","ALB",85,89,11.212,2015
"33094","ALB",90,94,2.818,2015
"33095","ALB",95,99,0.43,2015
"33096","ALB",100,104,0.03,2015
"33142","ALB",15,19,102.792,2018
"33143","ALB",20,24,117.097,2018
"33144","ALB",25,29,114.191,2018
"33145","ALB",30,34,92.51,2018
"33146","ALB",35,39,74.535,2018
"33147","ALB",40,44,82.715,2018
"33148","ALB",45,49,93.748,2018
"33149","ALB",50,54,99.832,2018
"33150","ALB",55,59,102.948,2018
"33151","ALB",60,64,88.519,2018
"33152","ALB",65,69,67.005,2018
"33153","ALB",70,74,53.329,2018
"33154","ALB",75,79,42.385,2018
"33155","ALB",80,84,25.81,2018
"33156","ALB",85,89,12.297,2018
"33157","ALB",90,94,4.084,2018
"33158","ALB",95,99,0.687,2018
"33159","ALB",100,104,0.033,2018
"33184","ALB",15,19,93.379,2020
"33185","ALB",20,24,110.982,2020
"33186","ALB",25,29,115.006,2020
"33187","ALB",30,34,101.291,2020
"33188","ALB",35,39,76.191,2020
"33189","ALB",40,44,76.614,2020
"33190","ALB",45,49,90.245,2020
"33191","ALB",50,54,95.681,2020
"33192","ALB",55,59,103.252,2020
"33193","ALB",60,64,95.295,2020
"33194","ALB",65,69,73.946,2020
"33195","ALB",70,74,55.69,2020
"33196","ALB",75,79,45.107,2020
"33197","ALB",80,84,28.149,2020
"33198","ALB",85,89,12.885,2020
"33199","ALB",90,94,4.043,2020
"33200","ALB",95,99,0.534,2020
"33201","ALB",100,104,0.036,2020
"35725","DZA",15,19,1408.3,1990
"35726","DZA",20,24,1188.893,1990
