iso3,countryname,region,super_region,year,age_group,ever_had_sex
AFG,Afghanistan,"Asia, South",5,1980,15,0.4171505
AFG,Afghanistan,"Asia, South",5,1980,20,0.8447347
AFG,Afghanistan,"Asia, South",5,1980,25,0.9605438
AFG,Afghanistan,"Asia, South",5,1980,30,0.9844403
AFG,Afghanistan,"Asia, South",5,1980,35,0.9891847
AFG,Afghanistan,"Asia, South",5,1980,40,0.9909816
AFG,Afghanistan,"Asia, South",5,1980,45,0.9919915
AFG,Afghanistan,"Asia, South",5,1981,15,0.4159505
AFG,Afghanistan,"Asia, South",5,1981,20,0.8437238
AFG,Afghanistan,"Asia, South",5,1981,25,0.960277
AFG,Afghanistan,"Asia, South",5,1981,30,0.9843222
AFG,Afghanistan,"Asia, South",5,1981,35,0.9890821
AFG,Afghanistan,"Asia, South",5,1981,40,0.9909158
AFG,Afghanistan,"Asia, South",5,1981,45,0.9919034
AFG,Afghanistan,"Asia, South",5,1982,15,0.4138047
AFG,Afghanistan,"Asia, South",5,1982,20,0.8421037
AFG,Afghanistan,"Asia, South",5,1982,25,0.9598016
AFG,Afghanistan,"Asia, South",5,1982,30,0.9841224
AFG,Afghanistan,"Asia, South",5,1982,35,0.9889247
AFG,Afghanistan,"Asia, South",5,1982,40,0.9908042
AFG,Afghanistan,"Asia, South",5,1982,45,0.9917694
AFG,Afghanistan,"Asia, South",5,1983,15,0.4112307
AFG,Afghanistan,"Asia, South",5,1983,20,0.840327
AFG,Afghanistan,"Asia, South",5,1983,25,0.959246
AFG,Afghanistan,"Asia, South",5,1983,30,0.9838908
AFG,Afghanistan,"Asia, South",5,1983,35,0.9887478
AFG,Afghanistan,"Asia, South",5,1983,40,0.990676
AFG,Afghanistan,"Asia, South",5,1983,45,0.9916141
AFG,Afghanistan,"Asia, South",5,1984,15,0.408893
AFG,Afghanistan,"Asia, South",5,1984,20,0.8386754
AFG,Afghanistan,"Asia, South",5,1984,25,0.9587574
AFG,Afghanistan,"Asia, South",5,1984,30,0.9836847
AFG,Afghanistan,"Asia, South",5,1984,35,0.9885929
AFG,Afghanistan,"Asia, South",5,1984,40,0.9905586
AFG,Afghanistan,"Asia, South",5,1984,45,0.9914648
AFG,Afghanistan,"Asia, South",5,1985,15,0.4070595
AFG,Afghanistan,"Asia, South",5,1985,20,0.8372498
AFG,Afghanistan,"Asia, South",5,1985,25,0.9583638
AFG,Afghanistan,"Asia, South",5,1985,30,0.9835188
AFG,Afghanistan,"Asia, South",5,1985,35,0.988466
AFG,Afghanistan,"Asia, South",5,1985,40,0.9904585
AFG,Afghanistan,"Asia, South",5,1985,45,0.9913288
AFG,Afghanistan,"Asia, South",5,1986,15,0.4050894
AFG,Afghanistan,"Asia, South",5,1986,20,0.835718
AFG,Afghanistan,"Asia, South",5,1986,25,0.9578986
AFG,Afghanistan,"Asia, South",5,1986,30,0.9833258
AFG,Afghanistan,"Asia, South",5,1986,35,0.9883153
AFG,Afghanistan,"Asia, South",5,1986,40,0.990345
AFG,Afghanistan,"Asia, South",5,1986,45,0.9911677
AFG,Afghanistan,"Asia, South",5,1987,15,0.4044715
AFG,Afghanistan,"Asia, South",5,1987,20,0.8354133
AFG,Afghanistan,"Asia, South",5,1987,25,0.9577737
AFG,Afghanistan,"Asia, South",5,1987,30,0.9832696
AFG,Afghanistan,"Asia, South",5,1987,35,0.9882458
AFG,Afghanistan,"Asia, South",5,1987,40,0.9903111
AFG,Afghanistan,"Asia, South",5,1987,45,0.9910685
AFG,Afghanistan,"Asia, South",5,1988,15,0.4048708
AFG,Afghanistan,"Asia, South",5,1988,20,0.8359821
AFG,Afghanistan,"Asia, South",5,1988,25,0.9578792
AFG,Afghanistan,"Asia, South",5,1988,30,0.9833153
AFG,Afghanistan,"Asia, South",5,1988,35,0.9882467
AFG,Afghanistan,"Asia, South",5,1988,40,0.9903294
AFG,Afghanistan,"Asia, South",5,1988,45,0.9910104
AFG,Afghanistan,"Asia, South",5,1989,15,0.4060908
AFG,Afghanistan,"Asia, South",5,1989,20,0.8373044
AFG,Afghanistan,"Asia, South",5,1989,25,0.9581508
