"","region","iso3"
"1","Asia, East","CHN"
"2","Asia, East","PRK"
"3","Asia, East","TWN"
"4","Asia, Southeast","KHM"
"5","Asia, Southeast","IDN"
"6","Asia, Southeast","LAO"
"7","Asia, Southeast","MYS"
"8","Asia, Southeast","MDV"
"9","Asia, Southeast","MUS"
"10","Asia, Southeast","MMR"
"11","Asia, Southeast","PHL"
"12","Asia, Southeast","LKA"
"13","Asia, Southeast","SYC"
"14","Asia, Southeast","THA"
"15","Asia, Southeast","TLS"
"16","Asia, Southeast","VNM"
"17","Oceania","ASM"
"18","Oceania","FSM"
"19","Oceania","FJI"
"20","Oceania","GUM"
"21","Oceania","KIR"
"22","Oceania","MHL"
"23","Oceania","MNP"
"24","Oceania","PNG"
"25","Oceania","WSM"
"26","Oceania","SLB"
"27","Oceania","TON"
"28","Oceania","VUT"
"29","Asia, Central","ARM"
"30","Asia, Central","AZE"
"31","Asia, Central","GEO"
"32","Asia, Central","KAZ"
"33","Asia, Central","KGZ"
"34","Asia, Central","MNG"
"35","Asia, Central","TJK"
"36","Asia, Central","TKM"
"37","Asia, Central","UZB"
"38","Europe, Central","ALB"
"39","Europe, Central","BIH"
"40","Europe, Central","BGR"
"41","Europe, Central","HRV"
"42","Europe, Central","CZE"
"43","Europe, Central","HUN"
"44","Europe, Central","MKD"
"45","Europe, Central","MNE"
"46","Europe, Central","POL"
"47","Europe, Central","ROU"
"48","Europe, Central","SRB"
"49","Europe, Central","SVK"
"50","Europe, Central","SVN"
"51","Europe, Eastern","BLR"
"52","Europe, Eastern","EST"
"53","Europe, Eastern","LVA"
"54","Europe, Eastern","LTU"
"55","Europe, Eastern","MDA"
"56","Europe, Eastern","RUS"
"57","Europe, Eastern","UKR"
"58","Asia Pacific, High Income","BRN"
"59","Asia Pacific, High Income","JPN"
"60","Asia Pacific, High Income","KOR"
"61","Asia Pacific, High Income","SGP"
"62","Australasia","AUS"
"63","Australasia","NZL"
"64","Europe, Western","AND"
"65","Europe, Western","AUT"
"66","Europe, Western","BEL"
"67","Europe, Western","CYP"
"68","Europe, Western","DNK"
"69","Europe, Western","FIN"
"70","Europe, Western","FRA"
"71","Europe, Western","DEU"
"72","Europe, Western","GRC"
"73","Europe, Western","ISL"
"74","Europe, Western","IRL"
"75","Europe, Western","ISR"
"76","Europe, Western","ITA"
"77","Europe, Western","LUX"
"78","Europe, Western","MLT"
"79","Europe, Western","NLD"
"80","Europe, Western","NOR"
"81","Europe, Western","PRT"
"82","Europe, Western","ESP"
"83","Europe, Western","SWE"
"84","Europe, Western","CHE"
"85","Europe, Western","GBR"
"86","Latin America, Southern","ARG"
"87","Latin America, Southern","CHL"
"88","Latin America, Southern","URY"
"89","North America, High Income","CAN"
"90","North America, High Income","GRL"
"91","North America, High Income","USA"
"92","Caribbean","ATG"
"93","Caribbean","BHS"
"94","Caribbean","BRB"
"95","Caribbean","BLZ"
"96","Caribbean","BMU"
"97","Caribbean","CUB"
"98","Caribbean","DMA"
"99","Caribbean","DOM"
"100","Caribbean","GRD"
"101","Caribbean","GUY"
"102","Caribbean","HTI"
"103","Caribbean","JAM"
"104","Caribbean","PRI"
"105","Caribbean","LCA"
"106","Caribbean","VCT"
"107","Caribbean","SUR"
"108","Caribbean","TTO"
"109","Caribbean","VIR"
"110","Latin America, Andean","BOL"
"111","Latin America, Andean","ECU"
"112","Latin America, Andean","PER"
"113","Latin America, Central","COL"
"114","Latin America, Central","CRI"
"115","Latin America, Central","SLV"
"116","Latin America, Central","GTM"
"117","Latin America, Central","HND"
"118","Latin America, Central","MEX"
"119","Latin America, Central","NIC"
"120","Latin America, Central","PAN"
"121","Latin America, Central","VEN"
"122","Latin America, Tropical","BRA"
"123","Latin America, Tropical","PRY"
"124","North Africa/Middle East","AFG"
"125","North Africa/Middle East","DZA"
"126","North Africa/Middle East","BHR"
"127","North Africa/Middle East","EGY"
"128","North Africa/Middle East","IRN"
"129","North Africa/Middle East","IRQ"
"130","North Africa/Middle East","JOR"
"131","North Africa/Middle East","KWT"
"132","North Africa/Middle East","LBN"
"133","North Africa/Middle East","LBY"
"134","North Africa/Middle East","MAR"
"135","North Africa/Middle East","PSE"
"136","North Africa/Middle East","OMN"
"137","North Africa/Middle East","QAT"
"138","North Africa/Middle East","SAU"
"139","North Africa/Middle East","SDN"
"140","North Africa/Middle East","SYR"
"141","North Africa/Middle East","TUN"
"142","North Africa/Middle East","TUR"
"143","North Africa/Middle East","ARE"
"144","North Africa/Middle East","YEM"
"145","Asia, South","BGD"
"146","Asia, South","BTN"
"147","Asia, South","IND"
"148","Asia, South","NPL"
"149","Asia, South","PAK"
"150","Sub-Saharan Africa, Central","AGO"
"151","Sub-Saharan Africa, Central","CAF"
"152","Sub-Saharan Africa, Central","COG"
"153","Sub-Saharan Africa, Central","COD"
