,iso3,loage,hiage,women,year
15985,ABW,15,19,2,1990
15986,ABW,20,24,2,1990
15987,ABW,25,29,3,1990
15988,ABW,30,34,3,1990
15989,ABW,35,39,3,1990
15990,ABW,40,44,2,1990
15991,ABW,45,49,2,1990
15992,ABW,50,54,2,1990
15993,ABW,55,59,1,1990
15994,ABW,60,64,1,1990
15995,ABW,65,69,1,1990
15996,ABW,70,74,1,1990
15997,ABW,75,79,1,1990
15998,ABW,80,84,0,1990
16002,ABW,80,NA,NA,1990
15999,ABW,85,89,0,1990
16000,ABW,90,94,0,1990
16001,ABW,95,99,0,1990
16003,ABW,15,19,2,1995
16004,ABW,20,24,3,1995
16005,ABW,25,29,3,1995
16006,ABW,30,34,4,1995
16007,ABW,35,39,4,1995
16008,ABW,40,44,3,1995
16009,ABW,45,49,3,1995
16010,ABW,50,54,2,1995
16011,ABW,55,59,2,1995
16012,ABW,60,64,1,1995
16013,ABW,65,69,1,1995
16014,ABW,70,74,1,1995
16015,ABW,75,79,1,1995
16016,ABW,80,84,0,1995
16020,ABW,80,NA,NA,1995
16017,ABW,85,89,0,1995
16018,ABW,90,94,0,1995
16019,ABW,95,99,0,1995
16021,ABW,15,19,3,2000
16022,ABW,20,24,3,2000
16023,ABW,25,29,3,2000
16024,ABW,30,34,4,2000
16025,ABW,35,39,5,2000
16026,ABW,40,44,4,2000
16027,ABW,45,49,4,2000
16028,ABW,50,54,3,2000
16029,ABW,55,59,2,2000
16030,ABW,60,64,2,2000
16031,ABW,65,69,1,2000
16032,ABW,70,74,1,2000
16033,ABW,75,79,1,2000
16034,ABW,80,84,1,2000
16038,ABW,80,NA,NA,2000
16035,ABW,85,89,0,2000
16036,ABW,90,94,0,2000
16037,ABW,95,99,0,2000
16039,ABW,15,19,4,2005
16040,ABW,20,24,3,2005
16041,ABW,25,29,3,2005
16042,ABW,30,34,4,2005
16043,ABW,35,39,5,2005
16044,ABW,40,44,5,2005
16045,ABW,45,49,5,2005
16046,ABW,50,54,4,2005
16047,ABW,55,59,3,2005
16048,ABW,60,64,2,2005
16049,ABW,65,69,2,2005
16050,ABW,70,74,1,2005
16051,ABW,75,79,1,2005
16052,ABW,80,84,0,2005
16056,ABW,80,NA,NA,2005
16053,ABW,85,89,0,2005
16054,ABW,90,94,0,2005
16055,ABW,95,99,0,2005
16057,ABW,15,19,4,2010
16058,ABW,20,24,3,2010
16059,ABW,25,29,3,2010
16060,ABW,30,34,4,2010
16061,ABW,35,39,4,2010
16062,ABW,40,44,4,2010
16063,ABW,45,49,5,2010
16064,ABW,50,54,4,2010
16065,ABW,55,59,4,2010
16066,ABW,60,64,3,2010
16067,ABW,65,69,2,2010
16068,ABW,70,74,2,2010
16069,ABW,75,79,1,2010
16070,ABW,80,84,1,2010
16074,ABW,80,NA,NA,2010
16071,ABW,85,89,0,2010
16072,ABW,90,94,0,2010
16073,ABW,95,99,0,2010
16075,ABW,15,19,4,2015
16076,ABW,20,24,4,2015
16077,ABW,25,29,3,2015
16078,ABW,30,34,3,2015
16079,ABW,35,39,4,2015
16080,ABW,40,44,4,2015
16081,ABW,45,49,4,2015
16082,ABW,50,54,5,2015
16083,ABW,55,59,4,2015
16084,ABW,60,64,4,2015
16085,ABW,65,69,3,2015
16086,ABW,70,74,2,2015
16087,ABW,75,79,1,2015
16088,ABW,80,84,1,2015
16092,ABW,80,NA,NA,2015
16089,ABW,85,89,0,2015
16090,ABW,90,94,0,2015
16091,ABW,95,99,0,2015
7561,AFG,15,19,619,1990
7562,AFG,20,24,503,1990
7563,AFG,25,29,412,1990
7564,AFG,30,34,349,1990
7565,AFG,35,39,297,1990
7566,AFG,40,44,271,1990
7567,AFG,45,49,189,1990
7568,AFG,50,54,144,1990
7569,AFG,55,59,110,1990
7570,AFG,60,64,87,1990
7571,AFG,65,69,68,1990
7572,AFG,70,74,42,1990
7573,AFG,75,79,21,1990
7574,AFG,80,84,8,1990
7578,AFG,80,NA,NA,1990
7575,AFG,85,89,2,1990
7576,AFG,90,94,0,1990
7577,AFG,95,99,0,1990
7579,AFG,15,19,865,1995
7580,AFG,20,24,701,1995
7581,AFG,25,29,572,1995
7582,AFG,30,34,468,1995
7583,AFG,35,39,390,1995
7584,AFG,40,44,326,1995
7585,AFG,45,49,294,1995
7586,AFG,50,54,211,1995
7587,AFG,55,59,162,1995
7588,AFG,60,64,121,1995
7589,AFG,65,69,90,1995
7590,AFG,70,74,62,1995
7591,AFG,75,79,34,1995
7592,AFG,80,84,14,1995
7596,AFG,80,NA,NA,1995
7593,AFG,85,89,4,1995
7594,AFG,90,94,0,1995
7595,AFG,95,99,0,1995
7597,AFG,15,19,1011,2000
7598,AFG,20,24,817,2000
7599,AFG,25,29,664,2000
7600,AFG,30,34,545,2000
7601,AFG,35,39,446,2000
7602,AFG,40,44,371,2000
7603,AFG,45,49,307,2000
7604,AFG,50,54,274,2000
7605,AFG,55,59,192,2000
7606,AFG,60,64,142,2000
7607,AFG,65,69,101,2000
7608,AFG,70,74,69,2000
7609,AFG,75,79,41,2000
7610,AFG,80,84,18,2000
7614,AFG,80,NA,NA,2000
7611,AFG,85,89,5,2000
7612,AFG,90,94,1,2000
7613,AFG,95,99,0,2000
7615,AFG,15,19,1297,2005
7616,AFG,20,24,1095,2005
7617,AFG,25,29,863,2005
7618,AFG,30,34,677,2005
7619,AFG,35,39,546,2005
7620,AFG,40,44,442,2005
7621,AFG,45,49,365,2005
7622,AFG,50,54,300,2005
7623,AFG,55,59,262,2005
7624,AFG,60,64,179,2005
7625,AFG,65,69,127,2005
7626,AFG,70,74,82,2005
7627,AFG,75,79,47,2005
7628,AFG,80,84,23,2005
7632,AFG,80,NA,NA,2005
7629,AFG,85,89,7,2005
7630,AFG,90,94,1,2005
7631,AFG,95,99,0,2005
7633,AFG,15,19,1467,2010
7634,AFG,20,24,1183,2010
7635,AFG,25,29,1022,2010
7636,AFG,30,34,825,2010
7637,AFG,35,39,651,2010
7638,AFG,40,44,525,2010
7639,AFG,45,49,422,2010
7640,AFG,50,54,344,2010
7641,AFG,55,59,278,2010
7642,AFG,60,64,237,2010
7643,AFG,65,69,153,2010
7644,AFG,70,74,100,2010
7645,AFG,75,79,57,2010
7646,AFG,80,84,26,2010
7650,AFG,80,NA,NA,2010
7647,AFG,85,89,9,2010
7648,AFG,90,94,2,2010
7649,AFG,95,99,0,2010
7651,AFG,15,19,1912,2015
7652,AFG,20,24,1501,2015
7653,AFG,25,29,1195,2015
7654,AFG,30,34,1015,2015
7655,AFG,35,39,814,2015
7656,AFG,40,44,639,2015
7657,AFG,45,49,512,2015
7658,AFG,50,54,408,2015
7659,AFG,55,59,327,2015
7660,AFG,60,64,257,2015
7661,AFG,65,69,208,2015
7662,AFG,70,74,124,2015
7663,AFG,75,79,71,2015
7664,AFG,80,84,33,2015
7668,AFG,80,NA,NA,2015
7665,AFG,85,89,11,2015
7666,AFG,90,94,2,2015
7667,AFG,95,99,0,2015
2161,AGO,15,19,642,1990
2162,AGO,20,24,521,1990
2163,AGO,25,29,439,1990
2164,AGO,30,34,369,1990
