region,code,ref_date,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80+,80_84,85_89,90_94,95_99,100+
WORLD,900,1950,166026,131698,127154,117300,109663,98655,84575,83093,74468,64967,55144,46166,39111,30105,20838,12576,8715,,,,,
WORLD,900,1955,198530,154848,128582,124744,114350,106374,95418,81349,79570,70553,61488,50912,41117,32673,22955,13821,9927,,,,,
WORLD,900,1960,211791,186859,151903,126163,121998,111339,103354,92335,77938,76073,67013,57158,45727,34777,25283,15450,11211,,,,,
WORLD,900,1965,234976,200318,183160,149512,123643,119198,108289,100246,89108,74557,72326,62783,51588,39112,27477,17743,13388,,,,,
WORLD,900,1970,256624,225197,197753,180965,147023,121197,116720,105543,97458,86250,71126,68304,57680,45428,32015,19936,16415,,,,,
WORLD,900,1975,265618,247169,222438,195354,178433,144979,119481,114664,103231,94799,83284,67445,63123,51356,37573,23697,19493,,,,,
WORLD,900,1980,267985,256897,244601,220502,193138,175929,142991,117496,112519,100740,91793,79590,62830,56801,43202,28559,23623,,,,,
WORLD,900,1985,289574,260406,254692,242872,218378,190971,174033,141139,115556,109990,97687,87826,74360,56548,48166,33166,29217,,,,,
WORLD,900,1990,314206,282265,258596,253074,240426,215867,189138,171955,139184,113158,106850,93692,82495,67459,48071,37495,,22264,9874,2973,598,72
WORLD,900,1995,302130,307654,280840,256839,250249,237947,214005,187103,169592,136407,110148,102720,88229,75069,57953,37696,,25589,12162,3941,775,96
WORLD,900,2000,294992,296595,306007,279017,254101,247927,235778,211816,184503,166577,133055,106059,96997,80710,65080,46235,,26122,14290,4978,1048,123
WORLD,900,2005,301292,290378,295284,304429,276521,251928,245238,233027,208592,180696,162643,128698,100478,88851,70328,52241,,32742,15022,6100,1380,172
WORLD,900,2010,314600,297278,288811,293574,301552,274541,249627,242894,230042,205559,177103,157415,122094,92757,78216,57224,,38142,19664,6781,1815,243
WORLD,900,2015,325428,311262,295693,287187,291738,299655,272348,247167,240167,226750,201603,171975,150562,113118,82266,64484,,42237,23477,9261,2155,345
Moredevelopedregions,901,1950,40628,33174,36140,34055,36315,34362,27021,31685,29682,26747,23199,19831,17363,14250,10397,6594,5018,,,,,
Moredevelopedregions,901,1955,42846,40121,33192,36067,33760,35863,34006,26679,31202,28873,26314,22195,18697,15686,11820,7676,6050,,,,,
Moredevelopedregions,901,1960,43754,42673,40306,33082,35861,33419,35612,33695,26193,30634,28415,25392,21078,17044,13233,8887,7253,,,,,
Moredevelopedregions,901,1965,42994,43821,42624,40233,33144,35719,33175,35338,33337,25767,30029,27708,24071,19325,14676,10265,8812,,,,,
Moredevelopedregions,901,1970,40570,43279,43914,42565,40206,32994,35564,32848,34975,33016,25172,29218,26404,22269,16725,11338,10657,,,,,
Moredevelopedregions,901,1975,39814,40682,43383,43981,42844,40443,33245,35550,32683,34551,32501,24501,27824,24623,19357,13223,12540,,,,,
Moredevelopedregions,901,1980,38110,39770,40942,43773,44306,42989,40608,33139,35418,32390,34069,31726,23573,26093,21798,15742,14877,,,,,
Moredevelopedregions,901,1985,38212,38282,40085,41303,44138,44553,43219,40509,33029,35018,31861,33183,30351,22098,23192,17849,18150,,,,,
Moredevelopedregions,901,1990,37866,38464,38804,40686,41698,44304,44930,43242,40489,32663,34462,31081,31929,28563,19810,19327,,13003,6371,2069,447,53
Moredevelopedregions,901,1995,34758,38350,39253,39490,41151,42240,44994,45183,43216,40049,32274,33669,29995,30031,25667,16714,,14218,7718,2719,554,69
Moredevelopedregions,901,2000,32080,35318,39164,39959,40074,41926,42831,45293,45157,43004,39710,31699,32594,28424,27210,21795,,12658,8623,3353,732,83
Moredevelopedregions,901,2005,32166,32420,35935,39834,40963,41137,42746,43397,45486,44975,42603,39047,30817,31032,26074,23305,,16688,8068,3919,941,110
Moredevelopedregions,901,2010,33803,32545,33126,36760,40826,41762,41975,43256,43394,45639,44742,42128,37764,29835,28768,22878,,18545,11004,3973,1193,153
Moredevelopedregions,901,2015,33669,34025,32728,33623,37828,41775,42322,42272,43406,43227,45199,43894,41063,35955,27976,25488,,18639,12547,5565,1287,204
Lessdevelopedregions,902,1950,125398,98523,91014,83245,73348,64293,57555,51408,44786,38220,31945,26336,21748,15855,10441,5981,3696,,,,,
Lessdevelopedregions,902,1955,155684,114726,95390,88677,80590,70511,61412,54670,48367,41680,35174,28718,22420,16987,11135,6145,3876,,,,,
Lessdevelopedregions,902,1960,168037,144186,111597,93081,86137,77920,67742,58639,51746,45439,38598,31766,24649,17733,12049,6563,3958,,,,,
Lessdevelopedregions,902,1965,191982,156497,140535,109278,90499,83479,75114,64908,55771,48790,42297,35075,27518,19787,12801,7478,4576,,,,,
Lessdevelopedregions,902,1970,216053,181919,153839,138399,106817,88203,81156,72695,62484,53234,45955,39086,31276,23159,15290,8598,5759,,,,,
Lessdevelopedregions,902,1975,225804,206486,179055,151373,135589,104536,86236,79114,70548,60248,50783,42944,35298,26733,18216,10474,6954,,,,,
Lessdevelopedregions,902,1980,229875,217128,203660,176729,148832,132940,102382,84358,77101,68350,57725,47864,39257,30708,21404,12817,8746,,,,,
Lessdevelopedregions,902,1985,251362,222123,214606,201569,174240,146418,130813,100630,82527,74972,65825,54643,44009,34450,24974,15317,11066,,,,,
Lessdevelopedregions,902,1990,276340,243801,219792,212388,198727,171564,144209,128713,98694,80494,72389,62611,50566,38896,28261,18168,,9261,3503,904,152,19
Lessdevelopedregions,902,1995,267372,269304,241587,217350,209098,195707,169011,141920,126376,96359,77874,69051,58234,45038,32287,20982,,11371,4444,1222,220,27
Lessdevelopedregions,902,2000,262912,261277,266844,239058,214027,206001,192947,166522,139346,123573,93345,74360,64403,52285,37870,24440,,13463,5668,1625,316,40
Lessdevelopedregions,902,2005,269126,257958,259349,264595,235558,210791,202492,189629,163105,135721,120040,89651,69660,57819,44254,28935,,16054,6954,2180,439,62
Lessdevelopedregions,902,2010,280797,264733,255685,256815,260725,232779,207652,199638,186647,159920,132362,115287,84330,62922,49448,34346,,19597,8659,2808,621,90
Lessdevelopedregions,902,2015,291759,277237,262965,253563,253911,257879,230026,204895,196761,183523,156404,128081,109499,77163,54290,38996,,23598,10929,3696,868,141
Leastdevelopedcountries,941,1950,16263,12745,11054,9831,8653,7485,6422,5461,4620,3908,3200,2577,1997,1495,1006,571,303,,,,,
Leastdevelopedcountries,941,1955,18532,14254,12237,10695,9433,8240,7085,6041,5105,4292,3581,2856,2177,1540,1007,547,304,,,,,
Leastdevelopedcountries,941,1960,21118,16477,13734,11869,10290,9013,7831,6694,5675,4767,3956,3221,2441,1707,1066,572,315,,,,,
Leastdevelopedcountries,941,1965,24141,18995,15929,13348,11437,9848,8590,7429,6318,5327,4420,3583,2780,1943,1207,627,347,,,,,
Leastdevelopedcountries,941,1970,27610,21938,18413,15510,12910,11004,9436,8193,7048,5961,4969,4033,3125,2249,1404,731,401,,,,,
Leastdevelopedcountries,941,1975,30808,25044,21123,17500,14498,12279,10539,9004,7783,6655,5566,4544,3536,2555,1651,871,482,,,,,
Leastdevelopedcountries,941,1980,35149,28210,24109,20409,16855,13813,11646,10053,8494,7291,6137,5080,3966,2904,1886,1052,591,,,,,
Leastdevelopedcountries,941,1985,39801,32455,27322,23451,19687,16084,13120,11084,9493,7926,6739,5578,4449,3259,2159,1199,721,,,,,
Leastdevelopedcountries,941,1990,44174,37244,31670,26721,22830,18998,15467,12570,10616,9000,7436,6218,4985,3752,2497,1418,,625,198,40,5,0
Leastdevelopedcountries,941,1995,48722,41870,36690,31038,25976,22209,18468,15007,12113,10173,8563,6972,5665,4291,2946,1695,,767,244,51,6,0
Leastdevelopedcountries,941,2000,53976,46494,41110,36128,30224,25157,21352,17689,14260,11471,9561,7960,6302,4891,3388,2057,,954,314,66,9,1
Leastdevelopedcountries,941,2005,59604,52022,45910,40312,35245,29389,24241,20458,16888,13532,10842,8945,7237,5438,3895,2370,,1199,409,92,13,1
Leastdevelopedcountries,941,2010,64574,57873,51390,44956,38936,34228,28335,23317,19639,16133,12837,10173,8162,6278,4376,2812,,1451,545,131,21,3
Leastdevelopedcountries,941,2015,69408,63068,57229,50608,44047,38134,33354,27438,22535,18900,15431,12152,9419,7224,5147,3230,,1762,715,202,36,5
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1950,109135,85778,79960,73414,64695,56808,51133,45947,40165,34311,28746,23758,19751,14359,9435,5411,3393,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1955,137152,100473,83153,77982,71157,62272,54328,48629,43263,37389,31593,25861,20243,15447,10128,5598,3572,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1960,146919,127709,97864,81212,75847,68907,59911,51945,46070,40672,34642,28544,22209,16025,10984,5991,3642,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1965,167841,137502,124607,95931,79062,73632,66524,57480,49452,43463,37876,31492,24737,17844,11594,6851,4229,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1970,188443,159980,135426,122889,93907,77198,71720,64501,55435,47273,40985,35053,28150,20909,13886,7867,5358,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1975,194996,181442,157932,133872,121090,92257,75697,70111,62765,53594,45217,38400,31763,24178,16565,9604,6471,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1980,194726,188917,179551,156320,131977,119127,90737,74305,68607,61059,51588,42785,35291,27804,19518,11764,8155,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1985,211561,189668,187285,178118,154553,130334,117694,89546,73034,67047,59086,49065,39560,31192,22815,14118,10345,,,,,
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1990,232166,206557,188122,185667,175897,152566,128741,116143,88078,71494,64953,56392,45580,35144,25764,16751,,8635,3305,864,147,19
"Lessdevelopedregions,excludingleastdevelopedcountries",934,1995,218649,227433,204897,186311,183122,173498,150543,126914,114263,86186,69311,62079,52570,40747,29341,19287,,10604,4199,1172,214,26
"Lessdevelopedregions,excludingleastdevelopedcountries",934,2000,208937,214783,225733,202930,183803,180844,171596,148833,125086,112102,83785,66400,58101,47394,34483,22383,,12509,5353,1559,307,40
"Lessdevelopedregions,excludingleastdevelopedcountries",934,2005,209522,205937,213439,224283,200313,181402,178251,169171,146217,122189,109199,80706,62424,52381,40360,26565,,14856,6544,2088,425,61
"Lessdevelopedregions,excludingleastdevelopedcountries",934,2010,216223,206860,204295,211859,221789,198552,179317,176321,167008,143787,119524,105114,76168,56644,45072,31534,,18146,8114,2678,600,87
